t	p
2073.92	4.4986e-09
2075.94	4.4475e-09
2077.94	4.4533e-09
2079.97	4.4537e-09
2082	4.4615e-09
2084.01	4.417e-09
2086.01	4.4401e-09
2088.01	4.3979e-09
2090.05	4.3924e-09
2092.05	4.3977e-09
2094.06	4.4148e-09
2096.08	4.3791e-09
2098.09	4.3371e-09
2100.09	4.4351e-09
2102.09	4.414e-09
2104.09	4.3036e-09
2106.12	4.3228e-09
2108.16	4.3798e-09
2110.17	4.2987e-09
2112.2	4.2826e-09
2114.2	4.3055e-09
2116.2	4.2896e-09
2118.2	4.2375e-09
2120.2	4.2904e-09
2122.2	4.2732e-09
2124.22	4.2554e-09
2126.23	4.2218e-09
2128.23	4.2247e-09
2130.23	4.2779e-09
2132.25	4.2249e-09
2134.26	4.2458e-09
2136.28	4.1779e-09
2138.28	4.2261e-09
2140.28	4.1663e-09
2142.28	4.167e-09
2144.28	4.1481e-09
2146.26	4.1832e-09
2148.26	4.1437e-09
2150.28	4.1375e-09
2152.31	4.1755e-09
2154.31	4.1014e-09
2156.33	4.1343e-09
2158.36	4.1066e-09
2160.36	4.1304e-09
2162.36	4.1415e-09
2164.36	4.0522e-09
2166.39	4.0961e-09
2168.39	4.1005e-09
2170.39	4.1361e-09
2172.41	4.0876e-09
2174.42	4.0055e-09
2176.42	4.048e-09
2178.44	4.0335e-09
2180.44	4.0281e-09
2182.48	4.0201e-09
2184.51	4.0072e-09
2186.53	4.0384e-09
2188.53	3.9741e-09
2190.55	3.9902e-09
2192.58	3.9642e-09
2194.58	3.9841e-09
2196.58	4.003e-09
2198.58	4.0016e-09
2200.59	3.9861e-09
2202.59	4.0078e-09
2204.61	3.9199e-09
2206.64	3.94e-09
2208.64	3.9416e-09
2210.66	3.9503e-09
2212.69	3.9535e-09
2214.69	3.9088e-09
2216.7	3.9063e-09
2218.72	3.8946e-09
2220.73	3.9082e-09
2222.75	3.8637e-09
2224.78	3.8888e-09
2226.76	3.8312e-09
2228.8	3.8124e-09
2230.8	3.822e-09
2232.8	3.8786e-09
2234.8	3.8657e-09
2236.81	3.8277e-09
2238.83	3.8421e-09
2240.86	3.8077e-09
2242.86	3.8464e-09
2244.88	3.7908e-09
2246.88	3.7507e-09
2248.88	3.8024e-09
2250.88	3.8123e-09
2252.88	3.7636e-09
2254.88	3.7574e-09
